kewajiban| pns| pasal 3| 1. mengucapkan sumpah/janji PNS|
kewajiban| pns| pasal 3| 2. mengucapkan sumpah/janji jabatan|
kewajiban| pns| pasal 3| 3. setia dan taat sepenuhnya kepada Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, Negara Kesatuan Republik Indonesia, dan Pemerintah|
kewajiban| pns| pasal 3| 4. menaati segala ketentuan peraturan perundangundangan|
kewajiban| pns| pasal 3| 5. melaksanakan tugas kedinasan yang dipercayakan kepada PNS dengan penuh pengabdian, kesadaran, dan tanggung jawab|
kewajiban| pns| pasal 3| 6. menjunjung tinggi kehormatan negara, Pemerintah, dan martabat PNS|
kewajiban| pns| pasal 3| 7. mengutamakan kepentingan negara daripadakepentingan sendiri, seseorang, dan/atau golongan|
kewajiban| pns| pasal 3| 8. memegang rahasia jabatan yang menurut sifatnyaatau menurut perintah harus dirahasiakan|
kewajiban| pns| pasal 3| 9. bekerja dengan jujur, tertib, cermat, danbersemangat untuk kepentingan negara|
kewajiban| pns| pasal 3| 10. melaporkan dengan segera kepada atasannya apabila mengetahui ada hal yang dapat membahayakan atau merugikan negara atau Pemerintah terutama di bidang keamanan, keuangan, dan materiil|
kewajiban| pns| pasal 3| 11. masuk kerja dan menaati ketentuan jam kerja|
kewajiban| pns| pasal 3| 12. mencapai sasaran kerja pegawai yang ditetapkan|
kewajiban| pns| pasal 3| 13. menggunakan dan memelihara barang-barang milik negara dengan sebaik-baiknya|
kewajiban| pns| pasal 3| 14. memberikan pelayanan sebaik-baiknya kepada masyarakat|
kewajiban| pns| pasal 3| 15. membimbing bawahan dalam melaksanakan tugas|
kewajiban| pns| pasal 3| 16. memberikan kesempatan kepada bawahan untuk mengembangkan karier| dan
kewajiban| pns| pasal 3| 17. menaati peraturan kedinasan yang ditetapkan oleh pejabat yang berwenang.
