larangan| pns| pasal 4|1. menyalahgunakan wewenang;
larangan| pns| pasal 4|2. menjadi perantara untuk mendapatkan keuntungan pribadi dan/atau orang lain dengan menggunakan kewenangan orang lain;
larangan| pns| pasal 4|3. tanpa izin Pemerintah menjadi pegawai atau bekerja untuk negara lain dan/atau lembaga atau organisasi internasional;
larangan| pns| pasal 4|4. bekerja pada perusahaan asing, konsultan asing, atau lembaga swadaya masyarakat asing;
larangan| pns| pasal 4|5. memiliki, menjual, membeli, menggadaikan, menyewakan, atau meminjamkan barang-barang baik bergerak atau tidak bergerak, dokumen atau surat berharga milik negara secara tidak sah;
larangan| pns| pasal 4|6. melakukan kegiatan bersama dengan atasan, teman sejawat, bawahan, atau orang lain di dalam maupun di luar lingkungan kerjanya dengan tujuan untuk keuntungan pribadi, golongan, atau pihak lain, yang secara langsung atau tidak langsung merugikan negara;
larangan| pns| pasal 4|7. memberi atau menyanggupi akan memberi sesuatu kepada siapapun baik secara langsung atau tidak langsung dan dengan dalih apapun untuk diangkat dalam jabatan;
larangan| pns| pasal 4|8. menerima hadiah atau suatu pemberian apa saja dari siapapun juga yang berhubungan dengan jabatan dan/atau pekerjaannya;
larangan| pns| pasal 4|9. bertindak sewenang-wenang terhadap bawahannya;
larangan| pns| pasal 4|10. melakukan suatu tindakan atau tidak melakukan suatu tindakan yang dapat menghalangi atau mempersulit salah satu pihak yang dilayani sehingga mengakibatkan kerugian bagi yang dilayani;
larangan| pns| pasal 4|11. menghalangi berjalannya tugas kedinasan;
larangan| pns| pasal 4|12. memberikan dukungan kepada calon Presiden/Wakil Presiden, Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, atau Dewan Perwakilan Rakyat Daerah dengan cara: a. ikut serta sebagai pelaksana kampanye; b. menjadi peserta kampanye dengan menggunakan atribut partai atau atribut PNS; c. sebagai peserta kampanye dengan mengerahkan PNS lain; dan/atau d. sebagai peserta kampanye dengan menggunakan fasilitas negara;
larangan| pns| pasal 4|13. memberikan dukungan kepada calon Presiden/Wakil Presiden dengan cara: a. membuat keputusan dan/atau tindakan yang menguntungkan atau merugikan salah satu pasangan calon selama masa kampanye; dan/atau b. mengadakan kegiatan yang mengarah kepada keberpihakan terhadap pasangan calon yang menjadi peserta pemilu sebelum, selama, dan sesudah masa kampanye meliputi pertemuan, ajakan, himbauan, seruan, atau pemberian barang kepada PNS dalam lingkungan unit kerjanya, anggota keluarga, dan masyarakat;
larangan| pns| pasal 4|14. memberikan dukungan kepada calon anggota Dewan Perwakilan Daerah atau calon Kepala Daerah/Wakil Kepala Daerah dengan cara memberikan surat dukungan disertai foto kopi Kartu Tanda Penduduk atau Surat Keterangan Tanda Penduduk sesuai peraturan perundangundangan;
larangan| pns| pasal 4|15. memberikan dukungan kepada calon Kepala Daerah/Wakil Kepala Daerah, dengan cara: a. terlibat dalam kegiatan kampanye untuk mendukung calon Kepala Daerah/Wakil Kepala Daerah; b. menggunakan fasilitas yang terkait dengan jabatan dalam kegiatan kampanye; c. membuat keputusan dan/atau tindakan yang menguntungkan atau merugikan salah satu pasangan calon selama masa kampanye; dan/atau d. mengadakan kegiatan yang mengarah kepada keberpihakan terhadap pasangan calon yang menjadi peserta pemilu sebelum, selama, dan sesudah masa kampanye meliputi pertemuan, ajakan, himbauan, seruan, atau pemberian barang kepada PNS dalam lingkungan unit kerjanya, anggota keluarga, dan masyarakat.
